#Component_name,comp_id,modenum,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,flux_peak,flux_int,x0_1_maxl,dx_1_maxl,y0_1_maxl,abs_peakz_median,abs_peakz_siglo,abs_peakz_sighi,abs_peakopd_median,abs_peakopd_siglo,abs_peakopd_sighi,abs_intopd_median(km/s),abs_intopd_siglo(km/s),abs_intopd_sighi(km/s),abs_width_median(km/s),abs_width_siglo(km/s),abs_width_sighi(km/s),ln(B)_mean,ln(B)_sigma,chisq_mean,chisq_sigma,field
J215840-471927,component_11a,1,21:58:40.3,-47:19:27,329.667768,-47.324414,459.44,509.885,0.80449966,46.88729014,0.17270176,0.80449733,0.00000630,0.00000673,0.17043190,0.01185385,0.01208652,8.49959893,0.57098015,0.56476034,49.77996921,2.58694074,2.88859215,130.216,0.13251,1.83177,0.0113402,FLASH_158
J222107-501808,component_39g,2,22:21:07.1,-50:18:08,335.279631,-50.302373,59.777,300.726,0.80447764,23.12448516,99.06776632,0.80449316,0.00000430,0.00000331,49.87010450,32.37766274,29.51008702,1328.90957722,817.34464850,709.49143673,26.80897419,1.22382409,2.60754279,145.691,0.123642,1.72801,0.0113402,FLASH_158
J222107-501808,component_39g,3,22:21:07.1,-50:18:08,335.279631,-50.302373,59.777,300.726,0.85054482,39.10203743,0.99656337,0.85055324,0.00003286,0.00000622,0.95815002,0.11015389,0.12663725,39.69889131,3.99577963,4.58253462,41.29877858,2.51399348,2.66752724,70.1481,0.126244,1.73775,0.0113402,FLASH_158
J222445-484341,component_10a,2,22:24:45.6,-48:43:41,336.189823,-48.728299,529.828,680.549,0.80448037,50.00842141,0.03550568,0.80449638,0.00001029,0.00000583,0.03468445,0.00073316,0.00066668,1.81525718,0.19232183,0.07990222,52.97597880,6.63070188,1.99366048,60.6761,0.142272,1.73735,0.0113402,FLASH_158
J222445-484341,component_10a,3,22:24:45.6,-48:43:41,336.189823,-48.728299,529.828,680.549,0.80446420,66.45745507,0.04008339,0.80446603,0.00000444,0.00000479,0.03961149,0.00037647,0.00027530,2.80121562,0.05943055,0.09622817,70.81973819,1.46968481,1.92732489,66.7748,0.141139,1.73643,0.0113402,FLASH_158
J222445-484341,component_10a,4,22:24:45.6,-48:43:41,336.189823,-48.728299,529.828,680.549,0.80447572,72.90051541,0.04123257,0.80447590,0.00000750,0.00000418,0.04092555,0.00033286,0.00028494,3.16942615,0.04950900,0.05147195,77.46211650,0.79337648,0.94790444,66.7093,0.140653,1.73647,0.0113402,FLASH_158
J222445-484341,component_10a,5,22:24:45.6,-48:43:41,336.189823,-48.728299,529.828,680.549,0.85055014,45.30023224,0.14182183,0.85055551,0.00000605,0.00000526,0.13887775,0.00879611,0.00915702,6.65182167,0.39526232,0.41556784,47.86143145,2.19372891,2.39551395,155.103,0.136366,1.72548,0.0113402,FLASH_158
J222445-484341,component_10a,6,22:24:45.6,-48:43:41,336.189823,-48.728299,529.828,680.549,0.80458801,25.00419375,0.15526856,0.80458014,0.00000161,0.00000080,0.14545607,0.01316826,0.00908536,4.07895325,0.11689886,0.14129951,28.09239706,1.99243802,2.95585504,114,0.145746,1.73044,0.0113402,FLASH_158
J222103-501817,component_39h,2,22:21:03.4,-50:18:17,335.264215,-50.304927,37.396,45.187,0.80447965,28.82003404,20.94299555,0.80449231,0.00000471,0.00000405,15.65522135,3.75854637,3.48497144,500.39501388,111.45585171,85.43497009,31.72816973,1.68616800,1.67494764,158.072,0.135652,1.69919,0.0113402,FLASH_158
J215339-463817,component_6a,2,21:53:39.0,-46:38:17,328.412366,-46.638088,929.027,1206.779,0.80446080,48.00518596,0.19836878,0.80445702,0.00000568,0.00000671,0.19300274,0.01220455,0.01171535,9.82775534,0.53873987,0.58335986,51.10035117,2.42262958,2.47972177,178.679,0.136275,1.83686,0.0113402,FLASH_158
J222108-501816,component_39e,1,22:21:08.4,-50:18:16,335.285159,-50.304595,76.14,189.897,0.85054640,38.99008817,0.90330025,0.85055405,0.00000594,0.00000544,0.86413662,0.08784905,0.10560780,35.71896040,3.29365193,4.14085598,41.39575731,2.38783108,2.85554214,82.6534,0.129957,1.7783,0.0113402,FLASH_158
J222108-501816,component_39e,2,22:21:08.4,-50:18:16,335.285159,-50.304595,76.14,189.897,0.80449455,34.69178390,3.09750843,0.80449601,0.00000366,0.00000376,3.44282501,0.73738897,1.21430768,121.90385983,20.88074196,33.35156982,35.51266936,2.57576486,2.51427824,182.443,0.127617,1.76545,0.0113402,FLASH_158
J222108-501816,component_39e,3,22:21:08.4,-50:18:16,335.285159,-50.304595,76.14,189.897,0.80447686,22.97217815,95.77874183,0.80449234,0.00003393,0.00000304,57.57402217,23.27584301,23.95782789,1505.73049444,568.86719040,567.41121208,26.32059329,0.90943459,1.26684530,181.679,0.130301,1.76541,0.0113402,FLASH_158
J222103-501828,component_39a,1,22:21:03.1,-50:18:28,335.263108,-50.308029,159.582,551.875,0.80449219,39.84665306,0.65054995,0.80449445,0.00000519,0.00000458,0.64201195,0.04782348,0.05083640,27.17058460,1.78373316,1.74818107,42.27493661,2.00314813,2.15169860,187.803,0.132712,1.73659,0.0113402,FLASH_158
J215405-515037,component_1c,1,21:54:05.4,-51:50:37,328.522612,-51.843779,33.394,124.518,0.80448070,25.63092907,99.56183935,0.80449321,0.00000401,0.00000304,72.71765655,22.35808346,15.27830975,2075.39937049,584.26513089,379.67672088,28.65447493,1.07326760,1.31982844,251.138,0.13579,1.92673,0.0113402,FLASH_158
J220205-510557,component_7a,3,22:02:05.8,-51:05:57,330.524266,-51.099257,617.275,1205.891,0.85054629,53.15313330,0.07288579,0.85055214,0.00002433,0.00000685,0.07203484,0.00484342,0.00455633,4.06287479,0.24587678,0.25044534,56.55857839,2.84752704,2.96797139,138.348,0.130581,1.72285,0.0113402,FLASH_158
J220205-510557,component_7a,4,22:02:05.8,-51:05:57,330.524266,-51.099257,617.275,1205.891,0.80448676,43.75631520,0.15858796,0.80449290,0.00000556,0.00000494,0.15595323,0.00833389,0.00786939,7.23435564,0.33301226,0.32423383,46.51867970,1.71946992,1.69227854,255.851,0.138318,1.70747,0.0113402,FLASH_158
J221819-503840,component_5a,1,22:18:19.1,-50:38:40,334.579589,-50.644597,1303.155,1323.731,0.80449776,43.14047770,0.07589565,0.80449742,0.00000475,0.00000534,0.07582979,0.00367721,0.00358194,3.44750285,0.14652473,0.15184468,45.51986357,1.73361970,1.78478315,298.56,0.135542,1.77946,0.0113402,FLASH_158
J222328-501712,component_4a,1,22:23:28.1,-50:17:12,335.867223,-50.286686,1394.3,1427.085,0.80449003,43.96929005,0.07884126,0.80449243,0.00000467,0.00000521,0.07835189,0.00351184,0.00342808,3.64246833,0.14309785,0.14657512,46.57121148,1.49652403,1.50653585,363.212,0.138157,1.81402,0.0113402,FLASH_158
J222702-523325,component_2a,1,22:27:02.7,-52:33:25,336.761118,-52.557200,2893.152,4103.179,0.98466629,229.66470063,0.00935664,0.98465444,0.00006203,0.00006467,0.00920662,0.00086005,0.00081872,2.14618306,0.18041598,0.20703280,234.00477348,22.92336361,26.73819968,80.3701,0.12298,2.83839,0.0113402,FLASH_158
